"filename", "language", "JavaScript", "CSS", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\vladK\Desktop\Diploma\diploma\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\vladK\Desktop\Diploma\diploma\package-lock.json", "JSON", 0, 0, 0, 26927, 0, 0, 0, 1, 26928
"c:\Users\vladK\Desktop\Diploma\diploma\package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\vladK\Desktop\Diploma\diploma\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\vladK\Desktop\Diploma\diploma\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\vladK\Desktop\Diploma\diploma\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vladK\Desktop\Diploma\diploma\src\App.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\ErrorHandler\ErrorHandler.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\ErrorHandler\ErrorHandler.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\Header\Header.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\Header\Header.module.css", "CSS", 0, 55, 0, 0, 0, 0, 0, 8, 63
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\Layout\Layout.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\Login\Login.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\Login\Login.module.css", "CSS", 0, 59, 0, 0, 0, 0, 0, 0, 59
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\Main\Main.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 4, 136
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\UI\Main\Main.module.css", "CSS", 0, 234, 0, 0, 0, 0, 2, 12, 248
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\pages\HomePage.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\pages\LoginPage.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\vladK\Desktop\Diploma\diploma\src\components\store\AuthContext.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\vladK\Desktop\Diploma\diploma\src\gallery\chat.svg", "XML", 0, 0, 65, 0, 0, 0, 1, 2, 68
"c:\Users\vladK\Desktop\Diploma\diploma\src\gallery\man.svg", "XML", 0, 0, 13, 0, 0, 0, 1, 1, 15
"c:\Users\vladK\Desktop\Diploma\diploma\src\gallery\star.svg", "XML", 0, 0, 68, 0, 0, 0, 1, 2, 71
"c:\Users\vladK\Desktop\Diploma\diploma\src\index.css", "CSS", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\vladK\Desktop\Diploma\diploma\src\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\vladK\Desktop\Diploma\diploma\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 287, 367, 146, 26991, 38, 20, 28, 104, 27981
